nama_produk,harga,penjual,kota,rating_produk,jml_review
PROMO LIP ON LIP MATTE NUDE LIPSTIK WARNA PASTEL MOISTURISING LONG LASTING AWET LUCU DENEICOLLECTION,Rp 66.200,DENEI COLLECTION,Jakarta Pusat,4.4,5 ulasan
Lipstik Just Miss,Rp 11.900,FANCY,Bandung,4.8,48 ulasan
Lipstik Alami LC03MM Merah Menyala,Rp 75.000,IRMANDHA NASA,Jakarta Utara,5,1 ulasan
Wardah Exclusive Matte Lip Cream Original - Lipstick Mate - Lipstik,Rp 45.000,ILAMA SHOP,Jakarta Barat,4.6,168 ulasan
LIPSTIK SHANEN -creamy lip paint,Rp 79.000,NAJAH outlet,Karawang,5,1 ulasan
Lipstik 3ce Mood Recipe Mini Kit Isi 10,Rp 54.000,Galeri Cantik Indonesia,Kab. Tangerang,5,3 ulasan
Lipstik Tony Moly Delight Tint Korea Original,Rp 89.000,rodney faulkner,Jakarta Pusat,5,36 ulasan
Lipstik Make Over Intense Matte Lip Cream Tolong Tambahkan Bubble Warp,Rp 85.000,Lipstick Surabaya,Surabaya,4.5,20 ulasan
LIPSTIK NASA LC01MN Merah Maroon,Rp 75.000,LACOCO NASA ORIGINAL,Jakarta Utara,5,1 ulasan
LIPSTIK MORESKIN LIPSTIK ANTI AIR AWET LIPCREAM NASA,Rp 89.000,MAY ROSE OLSHOP,Surabaya,5,23 ulasan
Lipstik B Erl Advance Lip Treatment Mencerahkan Bibir,Rp 95.000,HalalSkincare,Bogor,4.8,4 ulasan
ERTOS Barbie Lips - Lipmatte Lipstik Lipstick Matte - ERTOS Skincare,Rp 55.000,VAMOS,Depok,4.2,43 ulasan
LIPSTIK REVLON 2085 PER 6PC,Rp 160.000,Sweetiecosmetic,Jakarta Barat,4,1 ulasan
Lipstik Make Over Cliquematte Lip Stylo,Rp 97.000,Lipstick Surabaya,Surabaya,4.8,4 ulasan
lipstik Purbasari matte nomor 95,Rp 25.000,my family shop,Kab. Kediri,5,4 ulasan
Lipstik B Erl Advance Lip Treatment Mencerahkan Bibir,Rp 95.000,HalalSkincare,Bogor,4.8,4 ulasan
Fran Wilson MoodMatcher Lipstick Black - Lipstik Ungu Hitam,Rp 65.000,Ai Perfume,Jakarta Utara,5,1 ulasan
lipstik jupon pemerah bibir tahan lama,Rp 15.000,ammza herbal,Jakarta Utara,4.5,6 ulasan
LIPSTIK KEREN WARNA MERAH MUDA,Rp 140.000,PRODUK NASA ORIGINAL,Jakarta Selatan,5,1 ulasan
tanaman hias-calathea black lipstik,Rp 50.000,Corak Bunga Taman,Kab. Bogor,5,1 ulasan
Tanaman hias aglonema jenis lipstik,Rp 13.500,tukangtaman88,Kab. Bogor,3.5,2 ulasan
LIPSTIK WARDAH INTENSE - Wardah Intense Matte Lipstick Terlaris,Rp 45.000,ANISYA SHOP,Karawang,5,1 ulasan
LIPSTIK  NORYUKI,Rp 180.000,shopediagrosir88,Jakarta Barat,5,1 ulasan
LIPSTIK / LIPSTICK HARE ARAB ORIGINAL 100% SUDAH BPOM HALAL,Rp 4.000,need shop,Jakarta Timur,4.7,92 ulasan
Lipstik Purbasari Color Matte No 89,Rp 26.000,BASICON,Surabaya,5,2 ulasan
Wardah Exlusive lipstik,Rp 32.000,AgnezCosmetics,Cirebon,5,15 ulasan
Wardah Long Lasting Lipstick - Lipstik,Rp 43.000,Wardah Nisha,Bekasi,4.6,42 ulasan
Tanaman hias calathea black lipstik,Rp 45.000,AGEN BIJI RUMPUT,Kab. Bogor,4.7,6 ulasan
Purbasari lipstik mattf,Rp 100.000,DS Butiqq,Purwakarta,5,2 ulasan
tanaman hias aglonema black lipstik,Rp 50.000,bibit tanaman store,Kab. Bogor,4.9,11 ulasan
Wardah Exclusive Matte Lip Cream Original - Lipstick Mate - Lipstik-,Rp 46.400,Shenny Store Official Shop,Jakarta Utara,4.5,83 ulasan
O.TWO.O Lipstik Matte 2in1,Rp 75.000,Queen_galery,Kab. Pekalongan,4.9,14 ulasan
Rak Kosmetik Tempat Lipstik Kutek Multifungsi Akrilik Grid 18 Murah,Rp 19.000,Dunia Celengan,Bantul,4.8,26 ulasan
Purbasari Mate color lipstik 89,Rp 40.000,Tarshop,Bekasi,5,4 ulasan
tempat lipstik akrilik 50ktk/t50 (display lipstik acrylic),Rp 110.000,acrylicmurah,Tangerang,5,6 ulasan
Lipstik Hare Arab,Rp 3.500,Dunia Muslim,Jakarta Selatan,4.8,9 ulasan
Tony moly delight tony tint lipstik korea original,Rp 32.500,Galeri Cantik Indonesia,Kab. Tangerang,4.8,14 ulasan
Wardah Intense Matte Lipstik,Rp 40.000,DWI KOSMETIK,Bogor,4.9,24 ulasan
PURBASARI LIPSTIK MATTE - LIPSTICK PURBASARI,Rp 29.900,Berkah Obat Dan Kosmetik,Jakarta Utara,4.8,8 ulasan
LIPSTIK DOLBY 3000 KODE 151,Rp 8.200,aidakosmetik,Jakarta Barat,4.8,19 ulasan
LIPSTIK DOLBY 3000 warna campur,Rp 8.500,COSMET4SHOP,Kab. Bekasi,4.7,10 ulasan
Lipstik Hare Original BPOM | Lipstik Arab BPOM ( Lipstik ajaib ),Rp 5.000,Ajwa Herbal Surabaya,Surabaya,4.6,12 ulasan
Lipstik SHANNEN Original,Rp 87.000,JAMS Collection,Surabaya,5,9 ulasan
bioaqua lipstick mini set 12 color lipstik 12 warna travel size,Rp 20.000,anekagrosir188,Batam,5,4 ulasan
Lip Palette ChocoAholic - Wardah Lipstik,Rp 64.000,Wardah Nisha,Bekasi,4.8,46 ulasan
LIPSTIK IMPLORA LIP CREAM MATTE DARK BERRY,Rp 18.000,AZZAHRASHOP,Depok,5,5 ulasan
Lipstik Purbasari Collor Matte No 82,Rp 35.000,leegalery,Kab. Bogor,5,92 ulasan
LIPSTICK / LIPSTIK DOLBY 3000 WARNA CAMPUR,Rp 8.000,need shop,Jakarta Timur,4.7,28 ulasan
Original Implora LIPCREAM Matte Urban Lipstik - Dusky Nude,Rp 22.000,murah jaya grosir,Jakarta Utara,4.7,14 ulasan
NOVO DIAMOND LIPSTIK MATTE LIP original,Rp 100.000,ZONA VAPORIZED,Banjarmasin,5,5 ulasan
JUPON LIPSTIK LIPSTICK JUPON TERMURAH BPOM,Rp 3.300,RATU STOCK,Jakarta Barat,4.3,40 ulasan
Soft Matte Lip Cream Liquid Eye Shadow dan Cream Blush On Lipstik Looke Holy Lip CREAM HEBE Cantik dan Tahan Lama Natural Original,Rp 140.000,amrita shop,Jakarta Pusat,5,28 ulasan
LIPSTIK REVLON MATTE 2095 PER BOX,Rp 160.000,Sweetiecosmetic,Jakarta Barat,4.6,8 ulasan
DNM Lipstik 19 Warna Matte Long Lasting Tahan Air Tahan Lama Original,Rp 9.500,Raja Dan Ratu,Jakarta Utara,4,3 ulasan
Tempat Lipstik Kosmetik 24 Grid Acrylic Lipstick Organizer,Rp 40.000,U.Store,Tangerang,5,1 ulasan
Lipstick 3CE Recipe Mood Mini Kit Lipstik Warna Nude,Rp 40.000,Sedaap Rasayang,Jakarta Barat,4.5,20 ulasan
LIP ON LIP MATTE REDISH LIPSTIK WARNA MERAH OREN MOISTURISING LONG LASTING AWET OT STORE,Rp 47.000,Cover Dashboard OT Store,Semarang,4.7,40 ulasan
tanaman aglonema lipstick classick - aglonema lipstik - classick,Rp 10.000,AT_store,Kab. Bogor,3,1 ulasan
